"id","firstName","secondName","lastName","firstLastName","club","districtNum","districtName","voivodeship","email","active"
74,"Adam",,"Dziedzic","Adam Dziedzic","PSL-TD",23,"Rzeszów","podkarpackie","Adam.Dziedzic@sejm.pl",true
75,"Jan","Michał","Dziedziczak","Jan Michał Dziedziczak","PiS",36,"Kalisz","wielkopolskie","Jan.Dziedziczak@sejm.pl",true
76,"Agnieszka","Ewa","Dziemianowicz-Bąk","Agnieszka Dziemianowicz-Bąk","Lewica",26,"Słupsk","pomorskie","Agnieszka.Dziemianowicz-Bak@sejm.pl",true
77,"Magdalena",,"Filiks","Magdalena Filiks","KO",41,"Szczecin","zachodniopomorskie","Magdalena.Filiks@sejm.pl",true
78,"Magdalena",,"Filipek-Sobczak","Magdalena Filipek-Sobczak","PiS",6,"Lublin","lubelskie","Magdalena.Filipek-Sobczak@sejm.pl",true
79,"Radosław","Aleksander","Fogiel","Radosław Fogiel","PiS",17,"Radom","mazowieckie","Radoslaw.Fogiel@sejm.pl",true
80,"Bronisław","Edward","Foltyn","Bronisław Foltyn","Konfederacja",27,"Bielsko-Biała","śląskie","Bronislaw.Foltyn@sejm.pl",true
81,"Roman","Henryk","Fritz","Roman Fritz","Konfederacja_KP",30,"Bielsko-Biała","śląskie","Roman.Fritz@sejm.pl",true
82,"Joanna","Zofia","Frydrych","Joanna Frydrych","KO",22,"Krosno","podkarpackie","Joanna.Frydrych@sejm.pl",true
83,"Konrad",,"Frysztak","Konrad Frysztak","KO",17,"Radom","mazowieckie","Konrad.Frysztak@sejm.pl",true
84,"Patryk",,"Gabriel","Patryk Gabriel","KO",25,"Gdańsk","pomorskie","Patryk.Gabriel@sejm.pl",true
85,"Krzysztof","Jan","Gadowski","Krzysztof Gadowski","KO",30,"Bielsko-Biała","śląskie","Krzysztof.Gadowski@sejm.pl",true
86,"Aleksandra","Małgorzata","Gajewska","Aleksandra Gajewska","KO",19,"Warszawa","mazowieckie","Aleksandra.Gajewska@sejm.pl",true
87,"Kinga","Magdalena","Gajewska","Kinga Gajewska","KO",20,"Warszawa","mazowieckie","Kinga.Gajewska@sejm.pl",true
88,"Elżbieta","Teresa","Gapińska","Elżbieta Gapińska","KO",16,"Płock","mazowieckie","Elzbieta.Gapinska@sejm.pl",true
89,"Kamila",,"Gasiuk-Pihowicz","Kamila Gasiuk-Pihowicz","KO",18,"Siedlce","mazowieckie","Kamila.Gasiuk-Pihowicz@sejm.pl",false
90,"Krzysztof","Kamil","Gawkowski","Krzysztof Gawkowski","Lewica",4,"Bydgoszcz","kujawsko-pomorskie","Krzysztof.Gawkowski@sejm.pl",true
91,"Zdzisław",,"Gawlik","Zdzisław Gawlik","KO",23,"Rzeszów","podkarpackie","Zdzislaw.Gawlik@sejm.pl",true
92,"Andrzej","Janusz","Gawron","Andrzej Gawron","PiS",28,"Częstochowa","śląskie","Andrzej.Gawron@sejm.pl",true
93,"Grzegorz","Krzysztof","Gaża","Grzegorz Gaża","PiS",27,"Bielsko-Biała","śląskie","Grzegorz.Gaza@sejm.pl",true
94,"Elżbieta","Kazimiera","Gelert","Elżbieta Gelert","KO",34,"Elbląg","warmińsko-mazurskie","Elzbieta.Gelert@sejm.pl",true
95,"Anna","Urszula","Gembicka","Anna Gembicka","PiS",5,"Toruń","kujawsko-pomorskie","Anna.Gembicka@sejm.pl",true
96,"Artur","Daniel","Gierada","Artur Daniel Gierada","KO",33,"Kielce","świętokrzyskie","Artur.Gierada@sejm.pl",true
97,"Roman","Jacek","Giertych","Roman Giertych","KO",33,"Kielce","świętokrzyskie","Roman.Giertych@sejm.pl",true
98,"Włodzisław",,"Giziński","Włodzisław Giziński","KO",4,"Bydgoszcz","kujawsko-pomorskie","Wlodzislaw.Gizinski@sejm.pl",true
99,"Szymon","Stanisław","Giżyński","Szymon Giżyński","PiS",28,"Częstochowa","śląskie","Szymon.Gizynski@sejm.pl",true
100,"Piotr","Tadeusz","Gliński","Piotr Gliński","PiS",19,"Warszawa","mazowieckie","Piotr.Glinski@sejm.pl",true
101,"Tomasz","Marian","Głogowski","Tomasz Głogowski","KO",29,"Katowice","śląskie","Tomasz.Glogowski@sejm.pl",true
102,"Piotr","Krzysztof","Głowski","Piotr Głowski","KO",38,"Piła","wielkopolskie","Piotr.Glowski@sejm.pl",true
103,"Marta","Joanna","Golbik","Marta Golbik","KO",29,"Katowice","śląskie","Marta.Golbik@sejm.pl",true
104,"Małgorzata","Joanna","Golińska","Małgorzata Golińska","PiS",40,"Koszalin","zachodniopomorskie","Malgorzata.Golinska@sejm.pl",true
105,"Kazimierz","Edward","Gołojuch","Kazimierz Gołojuch","PiS",23,"Rzeszów","podkarpackie","Kazimierz.Golojuch@sejm.pl",true
106,"Adam","Michał","Gomoła","Adam Gomoła","niez.",21,"Opole","opolskie","Adam.Gomola@sejm.pl",true
107,"Robert",,"Gontarz","Robert Gontarz","PiS",34,"Elbląg","warmińsko-mazurskie","Robert.Gontarz@sejm.pl",true
108,"Stanisław","Andrzej","Gorczyca","Stanisław Gorczyca","KO",34,"Elbląg","warmińsko-mazurskie","Stanislaw.Gorczyca@sejm.pl",true
109,"Mariusz","Marek","Gosek","Mariusz Gosek","PiS",33,"Kielce","świętokrzyskie","Mariusz.Gosek@sejm.pl",true
110,"Daria","Iwona","Gosek-Popiołek","Daria Gosek-Popiołek","Lewica",13,"Kraków","małopolskie","Daria.Gosek-Popiolek@sejm.pl",true
111,"Małgorzata","Maria","Gosiewska","Małgorzata Gosiewska","PiS",19,"Warszawa","mazowieckie","Malgorzata.Gosiewska@sejm.pl",false
112,"Piotr","Tadeusz","Górnikiewicz","Piotr Górnikiewicz","Polska2050-TD",15,"Tarnów","małopolskie","Piotr.Gornikiewicz@sejm.pl",true
113,"Agnieszka","Beata","Górska","Agnieszka Górska","PiS",17,"Radom","mazowieckie","Agnieszka.Gorska@sejm.pl",true
114,"Krzysztof",,"Grabczuk","Krzysztof Grabczuk","KO",7,"Chełm","lubelskie","Krzysztof.Grabczuk@sejm.pl",true
115,"Jan","Stanisław","Grabiec","Jan Grabiec","KO",20,"Warszawa","mazowieckie","Jan.Grabiec@sejm.pl",true
116,"Marcin",,"Grabowski","Marcin Grabowski","PiS",18,"Siedlce","mazowieckie","Marcin.Grabowski@sejm.pl",true
117,"Michał","Sebastian","Gramatyka","Michał Gramatyka","Polska2050-TD",31,"Katowice","śląskie","Michal.Gramatyka@sejm.pl",true
118,"Małgorzata",,"Gromadzka","Małgorzata Gromadzka","KO",7,"Chełm","lubelskie","Malgorzata.Gromadzka@sejm.pl",true
119,"Marek",,"Gróbarczyk","Marek Gróbarczyk","PiS",41,"Szczecin","zachodniopomorskie","Marek.Grobarczyk@sejm.pl",true
120,"Andrzej","Marian","Grzyb","Andrzej Grzyb","PSL-TD",36,"Kalisz","wielkopolskie","Andrzej.Grzyb@sejm.pl",true
121,"Andrzej",,"Gut-Mostowy","Andrzej Gut-Mostowy","PiS",14,"Nowy Sącz","małopolskie","Andrzej.Gut-Mostowy@sejm.pl",true
122,"Kazimierz",,"Gwiazdowski","Kazimierz Gwiazdowski","PiS",24,"Białystok","podlaskie","Kazimierz.Gwiazdowski@sejm.pl",true
123,"Marcin","Piotr","Gwóźdź","Marcin Gwóźdź","PiS",2,"Wałbrzych","dolnośląskie","Marcin.Gwozdz@sejm.pl",true
124,"Marek","Krzysztof","Gzik","Marek Gzik","KO",29,"Katowice","śląskie","Marek.Gzik@sejm.pl",true
125,"Krzysztof","Stefan","Habura","Krzysztof Habura","KO",11,"Sieradz","łódzkie","Krzysztof.Habura@sejm.pl",true
126,"Agnieszka","Małgorzata","Hanajczyk","Agnieszka Hanajczyk","KO",11,"Sieradz","łódzkie","Agnieszka.Hanajczyk@sejm.pl",true
127,"Iwona",,"Hartwich","Iwona Hartwich","KO",5,"Toruń","kujawsko-pomorskie","Iwona.Hartwich@sejm.pl",true
128,"Paulina",,"Hennig-Kloska","Paulina Hennig-Kloska","Polska2050-TD",37,"Konin","wielkopolskie","Paulina.Hennig-Kloska@sejm.pl",true
129,"Krzysztof","Andrzej","Hetman","Krzysztof Hetman","PSL-TD",6,"Lublin","lubelskie","Krzysztof.Hetman@sejm.pl",false
130,"Czesław",,"Hoc","Czesław Hoc","PiS",40,"Koszalin","zachodniopomorskie","Czeslaw.Hoc@sejm.pl",true
131,"Zbigniew","Grzegorz","Hoffmann","Zbigniew Hoffmann","PiS",37,"Konin","wielkopolskie","Zbigniew.Hoffmann@sejm.pl",true
132,"Marek","Tomasz","Hok","Marek Tomasz Hok","KO",40,"Koszalin","zachodniopomorskie","Marek.Hok@sejm.pl",true
133,"Szymon","Franciszek","Hołownia","Szymon Hołownia","Polska2050-TD",24,"Białystok","podlaskie","Szymon.Holownia@sejm.pl",true
134,"Marcin","Michał","Horała","Marcin Horała","PiS",26,"Słupsk","pomorskie","Marcin.Horala@sejm.pl",true
135,"Łukasz",,"Horbatowski","Łukasz Horbatowski","KO",1,"Legnica","dolnośląskie","Lukasz.Horbatowski@sejm.pl",true
136,"Paweł","Marek","Hreniak","Paweł Hreniak","PiS",3,"Wrocław","dolnośląskie","Pawel.Hreniak@sejm.pl",true
137,"Paweł",,"Jabłoński","Paweł Jabłoński","PiS",30,"Bielsko-Biała","śląskie","Pawel.Jablonski@sejm.pl",true
138,"Klaudia","Krystyna","Jachira","Klaudia Jachira","KO",19,"Warszawa","mazowieckie","Klaudia.Jachira@sejm.pl",true
139,"Marek",,"Jakubiak","Marek Jakubiak","Republikanie",19,"Warszawa","mazowieckie","Marek.Jakubiak@sejm.pl",true
140,"Maria","Małgorzata","Janyska","Maria Małgorzata Janyska","KO",38,"Piła","wielkopolskie","Maria.Janyska@sejm.pl",true
141,"Michał",,"Jaros","Michał Jaros","KO",3,"Wrocław","dolnośląskie","Michal.Jaros@sejm.pl",true
142,"Patryk","Bartłomiej","Jaskulski","Patryk Jaskulski","KO",41,"Szczecin","zachodniopomorskie","Patryk.Jaskulski@sejm.pl",true
143,"Danuta","Maria","Jazłowiecka","Danuta Jazłowiecka","KO",21,"Opole","opolskie","Danuta.Jazlowiecka@sejm.pl",true
144,"Dariusz",,"Joński","Dariusz Joński","KO",9,"Łódź","łódzkie","Dariusz.Jonski@sejm.pl",false
145,"Marcin",,"Józefaciuk","Marcin Józefaciuk","KO",9,"Łódź","łódzkie","Marcin.Jozefaciuk@sejm.pl",true
146,"Norbert","Jakub","Kaczmarczyk","Norbert Jakub Kaczmarczyk","PiS",15,"Tarnów","małopolskie","Norbert.Kaczmarczyk@sejm.pl",true
147,"Filip","Roman","Kaczyński","Filip Kaczyński","PiS",12,"Kraków","małopolskie","Filip.Kaczynski@sejm.pl",true
148,"Jarosław","Aleksander","Kaczyński","Jarosław Kaczyński","PiS",33,"Kielce","świętokrzyskie","Jaroslaw.Kaczynski@sejm.pl",true
149,"Piotr","Marek","Kaleta","Piotr Kaleta","PiS",36,"Kalisz","wielkopolskie","Piotr.Kaleta@sejm.pl",true
150,"Sebastian","Jerzy","Kaleta","Sebastian Kaleta","PiS",19,"Warszawa","mazowieckie","Sebastian.Kaleta@sejm.pl",true
151,"Mariusz",,"Kałużny","Mariusz Kałużny","PiS",5,"Toruń","kujawsko-pomorskie","Mariusz.Kaluzny@sejm.pl",true
152,"Mariusz",,"Kamiński","Mariusz Kamiński","PiS",7,"Chełm","lubelskie","Mariusz.Kaminski@sejm.pl",false
153,"Piotr",,"Kandyba","Piotr Kandyba","KO",20,"Warszawa","mazowieckie","Piotr.Kandyba@sejm.pl",true
154,"Jan","Jakub","Kanthak","Jan Kanthak","PiS",6,"Lublin","lubelskie","Jan.Kanthak@sejm.pl",true
155,"Fryderyk","Sylwester","Kapinos","Fryderyk Sylwester Kapinos","PiS",23,"Rzeszów","podkarpackie","Fryderyk.Kapinos@sejm.pl",true
156,"Jacek","Karnowski","Karnowski","Jacek Karnowski","KO",25,"Gdańsk","pomorskie","Jacek.Karnowski@sejm.pl",true
157,"Iwona",,"Karolewska","Iwona Karolewska","KO",4,"Bydgoszcz","kujawsko-pomorskie","Iwona.Karolewska@sejm.pl",true
158,"Rafał","Marcin","Kasprzyk","Rafał Kasprzyk","Polska2050-TD",33,"Kielce","świętokrzyskie","Rafal.Kasprzyk@sejm.pl",true
159,"Henryk",,"Kiepura","Henryk Kiepura","PSL-TD",28,"Częstochowa","śląskie","Henryk.Kiepura@sejm.pl",true
160,"Marcin","Piotr","Kierwiński","Marcin Kierwiński","KO",16,"Płock","mazowieckie","Marcin.Kierwinski@sejm.pl",false
161,"Katarzyna","Renata","Kierzek-Koperska","Katarzyna Kierzek-Koperska","KO",39,"Poznań","wielkopolskie","Katarzyna.Kierzek-Koperska@sejm.pl",true
162,"Dariusz",,"Klimczak","Dariusz Klimczak","PSL-TD",10,"Piotrków Trybunalski","łódzkie","Dariusz.Klimczak@sejm.pl",true
163,"Joanna","Grażyna","Kluzik-Rostkowska","Joanna Kluzik-Rostkowska","KO",17,"Radom","mazowieckie","Joanna.Kluzik-Rostkowska@sejm.pl",true
164,"Agnieszka","Maria","Kłopotek","Agnieszka Maria Kłopotek","PSL-TD",4,"Bydgoszcz","kujawsko-pomorskie","Agnieszka.Klopotek@sejm.pl",true
165,"Łukasz","Marek","Kmita","Łukasz Kmita","PiS",12,"Kraków","małopolskie","Lukasz.Kmita@sejm.pl",true
166,"Michał","Andrzej","Kobosko","Michał Kobosko","Polska2050-TD",19,"Warszawa","mazowieckie","Michal.Kobosko@sejm.pl",false
167,"Maria","Zofia","Koc","Maria Koc","PiS",18,"Siedlce","mazowieckie","Maria.Koc@sejm.pl",true
168,"Ewa","Edyta","Kołodziej","Ewa Kołodziej","KO",31,"Katowice","śląskie","Ewa.Kolodziej@sejm.pl",true
169,"Magdalena","Małgorzata","Kołodziejczak","Magdalena Małgorzata Kołodziejczak","KO",25,"Gdańsk","pomorskie","Magdalena.Kolodziejczak@sejm.pl",true
170,"Michał",,"Kołodziejczak","Michał Kołodziejczak","KO",37,"Konin","wielkopolskie","Michal.Kolodziejczak@sejm.pl",true
171,"Rafał","Paweł","Komarewicz","Rafał Komarewicz","Polska2050-TD",13,"Kraków","małopolskie","Rafal.Komarewicz@sejm.pl",true
172,"Maciej",,"Konieczny","Maciej Konieczny","Razem",31,"Katowice","śląskie","Maciej.Konieczny@sejm.pl",true
173,"Zbigniew","Marek","Konwiński","Zbigniew Konwiński","KO",26,"Słupsk","pomorskie","Zbigniew.Konwinski@sejm.pl",true
174,"Władysław","Marcin","Kosiniak-Kamysz","Władysław Kosiniak-Kamysz","PSL-TD",15,"Tarnów","małopolskie","Wladyslaw.Kosiniak-Kamysz@sejm.pl",true
175,"Tomasz","Tadeusz","Kostuś","Tomasz Kostuś","KO",21,"Opole","opolskie","Tomasz.Kostus@sejm.pl",true
176,"Andrzej","Tomasz","Kosztowniak","Andrzej Kosztowniak","PiS",17,"Radom","mazowieckie","Andrzej.Kosztowniak@sejm.pl",true
177,"Katarzyna",,"Kotula","Katarzyna Kotula","Lewica",25,"Gdańsk","pomorskie","Katarzyna.Kotula@sejm.pl",true
178,"Paweł",,"Kowal","Paweł Kowal","KO",23,"Rzeszów","podkarpackie","Pawel.Kowal@sejm.pl",true
179,"Henryk",,"Kowalczyk","Henryk Kowalczyk","PiS",18,"Siedlce","mazowieckie","Henryk.Kowalczyk@sejm.pl",true
180,"Janusz","Marcin","Kowalski","Janusz Kowalski","PiS",21,"Opole","opolskie","Janusz.Kowalski@sejm.pl",true
181,"Bartosz","Józef","Kownacki","Bartosz Józef Kownacki","PiS",4,"Bydgoszcz","kujawsko-pomorskie","Bartosz.Kownacki@sejm.pl",true
182,"Iwona","Maria","Kozłowska","Iwona Maria Kozłowska","KO",4,"Bydgoszcz","kujawsko-pomorskie","Iwona.Kozlowska@sejm.pl",true
183,"Stefan",,"Krajewski","Stefan Krajewski","PSL-TD",24,"Białystok","podlaskie","Stefan.Krajewski@sejm.pl",true
184,"Wiesław",,"Krajewski","Wiesław Krajewski","PiS",15,"Tarnów","małopolskie","Wieslaw.Krajewski@sejm.pl",true
185,"Leonard","Seweryn","Krasulski","Leonard Krasulski","PiS",34,"Elbląg","warmińsko-mazurskie","Leonard.Krasulski@sejm.pl",true
186,"Iwona","Małgorzata","Krawczyk","Iwona Małgorzata Krawczyk","KO",1,"Legnica","dolnośląskie","Iwona.Krawczyk@sejm.pl",true
187,"Michał",,"Krawczyk","Michał Krawczyk","KO",6,"Lublin","lubelskie","Michal.Krawczyk@sejm.pl",true
188,"Robert",,"Kropiwnicki","Robert Kropiwnicki","KO",1,"Legnica","dolnośląskie","Robert.Kropiwnicki@sejm.pl",true
189,"Piotr","Marek","Król","Piotr Król","PiS",4,"Bydgoszcz","kujawsko-pomorskie","Piotr.Krol@sejm.pl",true
190,"Wojciech","Piotr","Król","Wojciech Król","KO",31,"Katowice","śląskie","Wojciech.Krol@sejm.pl",true
191,"Anna","Maria","Krupka","Anna Krupka","PiS",33,"Kielce","świętokrzyskie","Anna.Krupka@sejm.pl",true
192,"Andrzej","Michał","Kryj","Andrzej Kryj","PiS",33,"Kielce","świętokrzyskie","Andrzej.Kryj@sejm.pl",true
193,"Mariusz","Tomasz","Krystian","Mariusz Krystian","PiS",12,"Kraków","małopolskie","Mariusz.Krystian@sejm.pl",true
